id,area,name,type,payex,summary,address,totalcar,totalmotor,FareInfo,twd97x,twd97y
014,信義區,興雅國中地下停車場,立體式,計時30元，全日月票4800元，日間月票2800元(7-19)，夜間月票2200元(限19-8)；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車447格(含身心障礙停車位9格)。,松德路200巷18號地下,447,0,30,307803.715,2769766.09
015,萬華區,峨眉立體停車場,立體式,"計時：小型車周一至周五(10-22)50元/時、(22-10)10元/時；小型車周六、周日與行政機關放假之紀念日與民俗日(10-24)60元/時、(24-10)10元/時，全程以半小時計費。月租：小型車全日月票4,800元/月，日間月票4,000元/月(每日10-22)，夜間月票500元/月(每日21-9)；機車全日月票300元/月。計次：機車20元/次，隔日另計。",建物附設立體式小型車518格(含身心障礙停車位11格，孕婦、育有6歲以下兒童停車位11格)。建物附設立體式機車1653格(含身心障礙停車位12格)。,峨眉街83號,518,1653,10,300995.827,2770750.36
016,中正區,中山堂地下停車場,立體式,計時：周一至周五計時40元(08-20)，計時10元(20-08)，周六日及政府行政機關放假之紀念日與民俗節日計時40元(10-20)，計時10元(20-10)。月租：全日月票4800元，日間月票3600元(07-19)，夜間月票1000元(19-08) 。,立體式小型車440格(含身心障礙停車位9格)。,延平南路98號地下,450,0,40,301507.707,2770749.58
017,大安區,岳洋敦南停車場,其他,120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日10000元/月,大型車:0格，小型車:48格，機車:0格,敦化南路2段201號旁空地,48,0,120,305446.08,2768935.25
018,萬華區,洛陽綜合立體停車場,立體式,小型車全日月票4000元，里民全日月票3300元。日間月票2400元(7-20)，夜間月票900元(20-7)，周一至周五(8-22)計時20元，(22-8)計時10元，周六至周日及政府行政機關放假之紀念日及民俗節日(8-10)計時20元，(10-22)計時30元，(22-8)計時10元 機車計次20元，全日月票300元 ；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車1676格(含身心障礙停車位64格)。立體式機車277格(含身心障礙停車位6格)。,環河南路1段1號,1654,277,20,301043.408,2771216.58
019,大同區,塔城公園地下停車場,立體式,全日月票5760元(全日里民優惠月票4600元)，夜間月票3000元(21-8)，計時30元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車151格(含身心障礙停車位4格)。,塔城街11號地下,155,0,30,301557.525,2771503.76
020,士林區,百齡高中地下停車場,立體式,日間月票1500元(7-19)，夜間月票1500元(21-8),立體式小型車232格(含身心障礙停車位5格)。,承德路4段175號地下,231,0,-9,302855.945,2775422.3
021,士林區,前港公園地下停車場,立體式,全日月票5200元，日間月票2600元(7-19) (2-19)計時20元，(19-2)計時40元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車531格(含身心障礙停車位11格)。,前港街45號地下,524,0,20,302482.057,2775334.64
022,信義區,五分埔公園地下停車場,立體式,全日月票4000元，所在里里民全日月票3500元，夜間月票3000元(限19-8)，周一至周四計時40元，周五至周日及政府行政機關放假之紀念日及民俗日計時50元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車210格(含身心障礙停車位4格)。,中坡北路57號地下,210,0,40,308568.31,2771067.69
023,松山區,民權公園地下停車場,立體式,"計時：小型車30元/時(08-22)，10元/時(22-08)，大型重型機車30元/時(08-22)，10元/時(22-08)，全程以半小時計費。月租：全日5,000元/月，日間2,800元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",立體式小型車714格(含身心障礙停車位15格)。,民權東路4段180號地下,731,0,30,306294.385,2772717.98
024,大安區,金華公園地下停車場,立體式,全日月票6000元 (8-22)計時50元，(22-8)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車193格(含身心障礙停車位3格)。,金華街190號地下,189,0,50,303652.309,2769153.2
025,萬華區,古亭國中地下停車場,立體式,全日月票5250元，計時30元，夜間月票2800元(18-8)；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車261格(含身心障礙停車位6格)。,中華路2段606巷1號地下,254,0,30,301525.761,2768579.65
026,大安區,榮帝科技全聯大安北師店停車場,其他,"計時：100元/時，停車未滿1小時以1小時計算，逾1小時以上，未滿半小時以半小時計算。月租：10,000元/月。",大型車:0格，小型車:5格，機車:0格,和平東路2段311巷29號地下1層,5,0,100,305033.689,2768714.25
027,文山區,景華公園地下停車場,立體式,計時20元。全日月票4800元，停車場所在里里民全日月票2800元，一般里民全日月票3200元，日間月票2400元(7-19)，夜間月票1500元(19-8),立體式小型車746格(含身心障礙停車位15格)。,景華街55號地下,750,0,20,304892.459,2765362.8
028,信義區,松山高中地下停車場,立體式,全日月票5760元(全日里民優惠月票4600元) 平日：(0-8)計時10元，(8-20)計時30元，(20-24)計時10元 假日(含行政機關放假日、調整放假日、民俗日)：(9-19)計時60元，其餘時段同平日費率 ；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車226格(含身心障礙停車位5格)。,基隆路1段156號地下,226,0,10,306917.974,2770778.19
029,內湖區,東湖國小地下停車場,立體式,小型車計時40元(8-21)，計時20元(21-8)，日間月票2000元(7-19)，夜間月票2000元(19-8)，全日月票4000元，所在里及一般里民優惠全日月票2800元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車358格(含身心障礙停車位7格)。立體式機車109格(含身心障礙停車位2格)。,東湖路115號之1地下,358,109,40,312114.874,2773511.32
030,大同區,大稻埕公園地下停車場,立體式,"計時：周一至五40元/時(08-19)，10元/時(19-翌日08)，周六至周日、政府行政機關放假之紀念日、民俗節日50元/時(08-19)，10元/時(19-翌日08)，全程以半小時計費。月票：全日5,760元/月，夜間2,000元/月(19-翌日08)。",立體式小型車198格(含身心障礙停車位5格)。,歸綏街243號地下,198,0,40,301502.719,2772342.45
031,大安區,附中公園地下停車場,立體式,"計時：50元/時(08-21)，10元/時(21-08)，全程以半小時計費。月租：全日月票5,760元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",立體式小型車118格(含身心障礙停車位4格)。,復興南路1段340巷11號地下,116,0,50,304723.351,2769906.87
032,松山區,西松高中地下停車場,立體式,計時30元，全日月票5250元，日間月票2800元(7-20)，夜間月票2450元(18-9)，夜間折扣(22-8)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車341格(含身心障礙停車位7格)。,健康路325巷19弄1號地下,341,0,30,307094.919,2772078.85
033,中山區,進安公園地下停車場,其他,"計時：20元/時，全程以半小時計費。月租：全日4,800元/月，日間3,000元/月(07-20)，夜間2,000元/月(20-07)。",為地下三層停車場，計有150個小型車停車格,八德路2段158號地下,154,0,20,304256.222,2770992.88
034,文山區,辛亥國小地下停車場,其他,全日月票3840元，一般里民全日月票3000元，計時20元(8-18)，計時10元(18-8),為地下二層停車場，計有129個小型車停車格。,辛亥路4段103號地下,132,0,20,306385.24,2766588.77
035,大同區,成淵高中地下停車場,立體式,全日月票5760元(全日里民優惠月票4600元)，夜間月票2400元(19-8) (9-21)計時40元，(21-9)計時30元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車273格(含身心障礙停車位6格)。,承德路2段235號之1地下,265,0,40,302443.992,2772624.48
036,北投區,大豐公園地下停車場,立體式,"計時：40元/時(7-22時)、10元/時(22時-翌日7時)，全程以半小時計費。 月租：全日4,000元/月。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",立體式小型車235格(含身心障礙停車位5格)。,大興街145號地下,234,0,40,300813.615,2780396.61
037,大安區,大安高工地下停車場,立體式,全日月票5760元(全日里民優惠月票4600元)，日間月票4200元(7-20)，夜間月票1500元(20-7)(9-21)計時30元(21-9)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車526格(含身心障礙停車位11格)。,信義路3段166巷6弄12號地下,527,0,30,304680.898,2769501.7
038,南港區,成德立體停車場,塔台式,周一至周五(8-18)計時20元，(18-8)計時30元，假日計時30元，全日月票4500元，日間月票2200元(7-19)，夜間月票2400元(19-7) ,塔台式小型車180格(含身心障礙停車位5格)。,成福路1號,180,0,20,309134.553,2770988.07
039,士林區,社園立體停車場,塔台式,計時20元，全日月票3600元，夜間月票1800元(18-8) ,塔台式小型車280格(含身心障礙停車位6格)。,延平北路6段180號,260,0,20,301034.258,2775795.37
040,松山區,健康國小地下停車場,立體式,"計時：30元/時，全程以半小時計費。月租：全日月票5,250元/月。",立體式小型車195格(含身心障礙停車位5格)。,延壽街168號地下,199,0,30,306738.661,2772157.76
041,信義區,忠信地下停車場,立體式,小型車計時40元，全日月票5200元，日間月票3600元(7-19)，夜間月票2880元(19-8) 機車計時10元(當日當次最高收費上限20元，隔日另計)，月票300元。111/11/26、11/27、12/3、12/4、12/10、12/11、12/17、12/18、12/24、12/25、12/31、112/1/1、1/2、1/8、1/14、1/15，10-20時，調整小型車費率，計時60元。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車314格(含身心障礙停車位7格)。立體式機車255格(含身心障礙停車位5格)。,松仁路2號地下,314,255,40,307293.875,2770374.65
042,大同區,建成國中地下停車場,立體式,"小型車8時至22時計時40元，22時至翌日8時計時10元，全日月票7,200元；機車計時10元(當日當次最高收費上限30元，隔日另計)，機車月票300元。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",立體式小型車330格(含身心障礙停車位7格)。立體式機車160格(含身心障礙停車位3格)。,長安西路37號之一地下,326,160,40,302454.824,2771581.35
043,南港區,興中立體停車場,立體式,"計時：小型車20元/時，全程以半小時計費。 月租:小型車全日月票3,000元/月；機車月票300元/月。 計次:機車20元/次，隔日另計。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。",立體式小型車637格(含身心障礙停車位13格)。立體式機車152格(含身心障礙停車位4格)。,興中路44巷1號,650,156,20,311193.24,2772128.99
044,萬華區,青年公園高爾夫球場地下停車場,立體式,小型車全日月票4800元，夜間月票2400元(18-8)，計時30元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車321格(含身心障礙停車位6格)。立體式機車157格(含身心障礙停車位7格)。,國興路5號地下,319,150,30,301246.148,2768507.43
045,中山區,八德路停車場,立體式,計時40元,建物附設立體式小型車69格(含身心障礙停車位2格)。,臺北市中山區八德路二段203號B1、B4。,69,0,40,304464.498,2771078.39
046,文山區,動物園站地下停車場,立體式,計時：小型車平日20元/時(06-22)，10元/時(22-06)，假日60元/時(06-22)，10元/時(22-06)，全程半小時計費。計次：機車20元/次，隔日另計(凌晨2時為基準跨日另計費)。月租：小型車限時日間800元/月(週一至週五平日06-21)，機車全日月票300元/月。,為地下立體停車場，計有200格機車格，150格小型車格,新光路2段28號,150,200,20,308423.211,2765610.24
047,中正區,汀州三停車場,平面式,計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,一般平面式小型車26格(含身心障礙停車位1格)。,中正區福和段二小段267-3、291-4地號；汀州路3段56號旁空地,26,0,100,303558.52,2767639.99
048,信義區,信義廣場地下停車場,立體式,小型車全日月票4800元，日間月票3500元(7-20)，夜間月票500元(21-8) 小型車周一至周五(8-22)計時40元，(22-8)計時10元 周六至周日與政府行政機關放假之紀念日及民俗節日，(8-22)計時50元，(22-8)計時10元 機車計次20元；月票300元。111/11/26、11/27、12/3、12/4、12/10、12/11、12/17、12/18、12/24、12/25、12/31、112/1/1、1/2、1/8、1/14、1/15，10-20時，調整小型車費率，計時60元。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車372格(含身心障礙停車位8格)。立體式機車233格(含身心障礙停車位3格)。,信義路5段11號地下,372,195,40,307098.292,2769568.19
049,北投區,大業立體停車場,塔台式,"計時：30元/時，全程以半小時計費。月租：全日3,000元/月。",塔台式小型車122格(含身心障礙停車位2格)。,大業路745號,124,0,30,300705.484,2781121.68
050,信義區,台北101停車場,立體式,"小型車平日70元/時，假日100元/時，機車20元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計費，小型車10,000元/月。",立體式小型車1324格(含身心障礙停車位26格，孕婦、育有6歲以下兒童停車位26格)，立體式機車1509格(含身心障礙停車位60格)。,台北市信義區市府路45號B2~B4,1350,1509,70,306888.017,2769632.52
051,內湖區,大湖公園地下停車場,其他,計時：小型車20元/時，全程以半小時計費；機車10元/時，全程以半小時計費，當日當次最高收費上限20元，隔日另計。全日月票：小型車2400元/月，日間月票(07-20)：1200元/月，全日月票里民優惠(內湖區清白里、大湖里、秀湖里)2400元/月；機車全日月票300元/月。,為地下停車場，計有221個小型車格，66個機車格,成功路5段7號地下,221,64,20,310699.031,2775146.05
052,松山區,民生社區活動中心地下停車場,其他,"計時：30元/時，全程以半小時計費。月租：全日5,760元/月。",為地下停車場，計有151個小型車格,民生東路5段163號之1號地下2、3F層,155,0,30,306771.829,2772514.97
053,松山區,民生立體停車場,立體式,計時30元，全日月票5760元(全日里民優惠月票4600元)；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車457格(含身心障礙停車位10格)。,民生東路5段84號,457,0,30,306446.194,2772356.55
054,松山區,北寧路地下停車場,其他,(9-21)計時40元，(21-9)計時30元，夜間月票2000元(平常日:18-9，周六、日及政府行政機關放假之紀念日全日均可使用) ,為地下停車場，計有78個小型車,八德路3段25號地下1層及地下2層,76,0,40,305739.506,2771287.79
055,大同區,市民大道(塔城段),立體式,(8-20)計時20元 (20-8)計時10元 日間月票2400元(7-19，以80張為出售上限，每人限購1張)，夜間月票500元(18-9及周六、日與行政機關放假之紀念日、民俗節日使用),立體式小型車252格(含身心障礙停車位11格)。,西寧北路-塔城街(地下),252,0,20,301372.085,2771452.87
056,大安區,大安森林公園地下停車場,立體式,小型車全日月票4200元，日間月票2800元(7-19)，夜間月票2000元(18-8) 周一至周五(8-23)計時20元，(23-8)計時10元 周六、周日及政府行政機關放假之紀念日與民俗節日(8-23)計時40元，(23-8)計時10元 機車計時10元(當日當次最高收費上限20元，隔日另計)，月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車1360格(含身心障礙停車位27格)。立體式機車344格(含身心障礙停車位8格)。,建國南路2段2號地下,1352,344,20,304225.666,2769534.8
057,中山區,市民大道(公中段) ,立體式,"計時：40元/時(08-18)，10元/時(18-翌日8時)，全程以半小時計費。月租：全日月票4,800元，日間月票3,200元(07-19)，夜間月票1,200元(20-翌日8時)。",立體式小型車184格(含身心障礙停車位4格)。,公園路-中山北路(地下),184,0,40,302388.459,2771232.09
058,中山區,市民大道(中林段),立體式,"計時：30元/時[周一至周五09-18]，20元/時[周一至周五18-09]，周六至周日及政府行政機關放假之紀念日及彈性調整放假日、民俗節日20元/時；全程半小時計費。月租：全日3,600元/月。",立體式小型車496格(含身心障礙停車位10格)。,中山北路-林森北路(地下),506,0,30,302745.088,2771185.18
059,中山區,市民大道(林金段),立體式,"計時：30元/時[周一至周五09-18]，20元/時[周一至周五18-09]，周六至周日及政府行政機關放假之紀念日及彈性調整放假日、民俗節日20元/時；全程半小時計費。月租：全日3,600元/月。9-18)計時30元；(18-9)計時20元，周六、日與行政機關放假之紀念日、民俗日計時20元",立體式小型車973格(含身心障礙停車位20格)。,林森北路-金山北路(地下),993,0,30,303200.818,2771094.24
060,中山區,台北時代寓所地下平面停車場,其他,"一、計時：小型車60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。二、計次：機車30元/次。三、月租：小型車10,000元/月，機車：600元/月。",大型車:0格，小型車:137格，機車:0格,林森南路7號地下1-3層,137,0,60,302805.503,2770775.7
061,北投區,陽明山立體停車場,立體式,小型車:每日7時至19時60元/時，19時至隔日7時30元/時。機車:20元/次,為立體停車場，有246個機車格，209個小型車格,湖山路(陽明山公園大門口旁),209,246,7,304333.626,2783074.63
062,松山區,忠孝玉成停車場,其他,"計時：150元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。月租：8,000元/月。",大型車:0格，小型車:49格，機車:0格,玉成段五小段234-1、234-3、258、258-1、258-2地號；忠孝東路6段62號旁空地,49,0,150,308905.108,2771000.15
063,中山區,長揚停車場仁愛站,平面式,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。計次:400元/次(08-24)。月租:全日7,000元/月，日間5,500元/月(08-19)，夜間4,000元/月(19-08)。",一般平面式小型車8格(含身心障礙停車位1格)。,復興南路1段253巷臨26號空地(大安區復興段3小段279地號)。,8,0,80,304967.285,2769954.44
064,信義區,Times松勤松仁,平面式,計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,一般平面式小型車113格(含身心障礙停車位3格)。,信義區信義段五小段14、14-1地號；松仁路148號旁空地,113,0,100,307311.165,2769387.06
065,大同區,雙連二停車場,平面式,計時：80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,一般平面式小型車1格(含身心障礙停車位1格)。,雙連段一小段219-8、219-65地號；錦西街72巷3號旁空地,1,0,80,302408.561,2772527.93
066,大同區,揚雅立體停車場,塔台式,月票3840元，計時20元，22-6禁止車輛進出,塔台式小型車204格(含身心障礙停車位5格)。,大龍街136號,200,0,20,302039.435,2773349.3
067,萬華區,雙園國中地下停車場,立體式,全日月票5200元 (8-22)計時30元，(22-8)計時10元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車321格(含身心障礙停車位7格)。,西園路2段320巷55弄3號地下。,314,0,30,299616.907,2768938.87
068,士林區,文昌國小地下停車場,立體式,小型車全日月票4800元，計時20元 機車計時10元(當日當次最高收費上限20元，隔日另計)，月票300元 ,立體式小型車222格(含身心障礙停車位5格)。立體式機車293格(含身心障礙停車位6格)。,文林路615巷20號地下,222,293,20,302530.863,2776916.9
069,萬華區,青年公園棒球場地下停車場,立體式,小型車全日月票4800元，夜間月票2400元(18-8)，計時30元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車276格(含身心障礙停車位6格)。立體式機車118格(含身心障礙停車位3格)。,青年路69號地下,270,115,30,300790.825,2768479.84
070,中山區,榮星花園地下停車場,立體式,"計時：小型車40元/時；機車10元/時，當日當次最高上限20元(凡跨越每日凌晨零時重新計算)；全程半小時計算，月租：小型車全日月票5,400元/月；機車全日月票300元/月。",立體式小型車242格(含身心障礙停車位5格)。立體式機車67格(含身心障礙停車位2格)。,建國北路3段39號地下,247,69,40,304440.292,2772962.63
071,大同區,朝陽公園地下停車場,立體式,全日月票5760元(全日里民優惠月票4600元)，夜間月票2400元(19-8) (8-22)計時40元，(22-8)計時10元,立體式小型車242格(含身心障礙停車位5格)。,重慶北路2段68號地下,244,0,40,301776.365,2772073.08
072,士林區,福林公園地下停車場,立體式,(12/3~12/4、12/10~12/11計時60元)，小型車計時30元，全日月票4800元，所在里里民全日月票及一般里民全日月票均為3360元，夜間月票2600元(限周一至周五20-8，及周六、日與行政機關放假之紀念日、民俗日使用) 機車計次20元；月票300元。鬱金香展2/18-28、2/19-20、2/26-28、上午9時至下午5時調整小型車計時50元。；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車242格(含身心障礙停車位5格)。立體式機車62格(含身心障礙停車位2格)。,中正路17號地下,241,62,60,303483.373,2776495.18
073,中山區,林森公園地下停車場,立體式,周一至周五(8-24)計時30元；(0-8)計時10元；周六至周日及政府行政機關放假之紀念日及民俗日(0-8)計時10元，(8-12)計時30元，(12-24)計時40元 全日月票4200元，日間月票3200元(7-19)，夜間月票1200元(19-8),立體式小型車850格(含身心障礙停車位17格)。,南京東路1段35號地下,850,0,30,303069.664,2771690.08
074,松山區,偶戲博物館地下停車場,立體式,"計時：小型車週一至週五30元/時，週六至週日、政府行政機關放假之紀念日、民俗節日及政府機關彈性調整放假日40元/時，機車週一至週日10元/時，當日當次收費上限20元(隔日另計)，全程以半小時計費。月租：全日5,400元/月，機車全日300元/月。",為立體、地下停車場，計有69個小型車停車位。45個機車停車位,市民大道5段99號(地下一層),71,47,30,306713.377,2771132.55
075,松山區,中崙高中地下停車場,立體式,"計時：星期一至星期五30元/時，星期六至星期日、政府行政機關放假之紀念日、民俗節日及政府機關彈性調整放假日40元/時，全程以半小時計費。月租：全日5,200元/月，日間4,400元/月(07-19)，夜間2,400元/月(19-翌日08)。",立體式小型車347格(含身心障礙停車位7格)。,八德路4段101號地下,354,0,30,306621.407,2771434.5
076,北投區,陽明山第二停車場,平面式,小型車:60元/時;機車:20元/次:大型車:200元/次(30分鐘內免費停車),為平面停車場，計有83個大型車停車位，127個小型車停車位，149個機車停車位。,陽金公路(陽明山國家公園遊客服務中心對面),112,149,60,305001.16,2783043.08
077,北投區,陽明山花鐘停車場,平面式,周一至周五小型車計時20元；大型車計次200元(30分鐘內免費),為平面停車場，計有30個大型車停車格，54格小型車。,湖山路2段(陽明山公園花鐘前),32,0,20,304364.838,2783442.61
